Wavelength(microns),Rplanet/Rstar,source_x_pixel,source_y_pixel,pixel_trace_interpolated
3.138626899,0.1436817217,554,484,False
3.139990552,0.144383752,555,425.5,False
3.141354206,0.1438917308,556,466.5,False
3.142717859,0.1438017269,557,474,False
3.144081512,0.143849729,558,470,True
3.145445166,0.1438977311,559,466,True
3.146808819,0.1439457331,560,462,False
3.148172472,0.1441077401,561,448.5,False
3.149536126,0.1440597381,562,452.5,False
3.150899779,0.1436577207,563,486,False
3.152263432,0.1437327239,564,479.75,True
3.153627086,0.1438077272,565,473.5,False
3.154990739,0.14387373,566,468,False
3.156354392,0.1438617295,567,469,False
3.157718045,0.1437177233,568,481,True
3.159081699,0.1435737171,569,493,False
3.160445352,0.1434737128,570,501.3333333,True
3.161809005,0.1433737084,571,509.6666667,True
3.163172659,0.1432737041,572,518,False
3.164536312,0.1432737041,573,518,False
3.165899965,0.1433337067,574,513,False
3.167263619,0.1435767172,575,492.75,True
3.168627272,0.1438197277,576,472.5,True
3.169990925,0.1440627382,577,452.25,True
3.171354579,0.1443057487,578,432,False
3.172718232,0.1443117489,579,431.5,False
3.174081885,0.1441497419,580,445,False
3.175445539,0.1439487333,581,461.75,True
3.176809192,0.1437477246,582,478.5,True
3.178172845,0.1435467159,583,495.25,True
3.179536499,0.1433457072,584,512,False
3.180900152,0.1433337067,585,513,False
3.182263805,0.143501714,586,499,False
3.183627458,0.1434957137,587,499.5,False
3.184991112,0.1434177103,588,506,True
3.186354765,0.143339707,589,512.5,False
3.187718418,0.143339707,590,512.5,False
3.189082072,0.1433077056,591,515.1666667,True
3.190445725,0.1432757042,592,517.8333333,True
3.191809378,0.1432437028,593,520.5,False
3.193173032,0.1433037054,594,515.5,False
3.194536685,0.1436607208,595,485.75,True
3.195900338,0.1440177362,596,456,False
3.197263992,0.1442517463,597,436.5,False
3.198627645,0.1442397458,598,437.5,False
3.199991298,0.1437357241,599,479.5,False
3.201354952,0.1443957526,600,424.5,False
3.202718605,0.1445397588,601,412.5,False
3.204082258,0.143663721,602,485.5,False
3.205445912,0.1437753258,603,476.2,True
3.206809565,0.1438869306,604,466.9,True
3.208173218,0.1439985354,605,457.6,True
3.209536871,0.1441101402,606,448.3,True
3.210900525,0.1442217451,607,439,False
3.212264178,0.1445997614,608,407.5,False
3.213627831,0.1445037572,609,415.5,False
3.214991485,0.1436517204,610,486.5,False
3.216355138,0.143525715,611,497,True
3.217718791,0.1433997096,612,507.5,True
3.219082445,0.1432737041,613,518,False
3.220446098,0.1434177103,614,506,False
3.221809751,0.1436817217,615,484,True
3.223173405,0.1439457331,616,462,False
3.224537058,0.1439577337,617,461,False
3.225900711,0.1436787216,618,484.25,True
3.227264365,0.1433997096,619,507.5,False
3.228628018,0.1434057098,620,507,False
3.229991671,0.1433837089,621,508.8333333,True
3.231355325,0.1433617079,622,510.6666667,True
3.232718978,0.143339707,623,512.5,False
3.234082631,0.1433457072,624,512,False
3.235446284,0.1433277065,625,513.5,False
3.236809938,0.1433217062,626,514,False
3.238173591,0.1437687255,627,476.75,True
3.239537244,0.1442157448,628,439.5,False
3.240900898,0.1440597381,629,452.5,False
3.242264551,0.144011736,630,456.5,False
3.243628204,0.144011736,631,456.5,False
3.244991858,0.144011736,632,456.5,False
3.246355511,0.1441917438,633,441.5,False
3.247719164,0.1441917438,634,441.5,False
3.249082818,0.144011736,635,456.5,True
3.250446471,0.1438317282,636,471.5,False
3.251810124,0.1437645253,637,477.1,True
3.253173778,0.1436973224,638,482.7,True
3.254537431,0.1436301195,639,488.3,True
3.255901084,0.1435629166,640,493.9,True
3.257264737,0.1434957137,641,499.5,False
3.258628391,0.1435077142,642,498.5,False
