log Pressure(bar),log VMR CO,log VMR H_2O,log VMR CO_2,log VMR CH_4,log VMR SO_2,log VMR H_2S,log VMR NH_3
0.14626514164376658,-1.685526617691641,-1.7724327783638385,-3.9246947129535226,-6.5324803866034165,-8.403127584595238,-3.028129593621274,-5.811546121831802
0.19263413872225993,-1.6854177537100528,-1.7723026798311545,-3.9485798151498814,-6.63786897970198,-8.251202913229863,-3.0322834308268627,-5.815807671092886
0.23146004049649194,-1.685346282618636,-1.7722179816576478,-3.9673268686910466,-6.717456577289721,-8.133052176511594,-3.03646719523176,-5.818648728183987
0.266301259761197,-1.6852968109531232,-1.7721607075934558,-3.9835057265779015,-6.784824239048579,-8.031531533975393,-3.0409136764775027,-5.81998685404095
0.30101716004354256,-1.6852629656337104,-1.772123716622286,-3.9986419031025333,-6.844900363092152,-7.937949456975603,-3.045897430772783,-5.819327388881991
0.3371110924820453,-1.6852441245217482,-1.7721071025563548,-4.013383041940043,-6.900118195516172,-7.84845986765116,-3.051650404286192,-5.816112844658333
0.3734695627571306,-1.6852426031760397,-1.77211480386276,-4.027728879066037,-6.952683825876411,-7.76210704988169,-3.0583009101686547,-5.811027738608203
0.4097052711464341,-1.6852602268116563,-1.77215001313987,-4.04137855975693,-7.000686869466835,-7.681191965973054,-3.06574213604331,-5.804417479796874
0.44602296172620565,-1.6852942754301972,-1.7722089819366875,-4.053586168747871,-7.036919036398248,-7.612314220794577,-3.073296563472512,-5.795072311256266
0.4723019785584143,-1.685343427070159,-1.7722903003319253,-4.063894836843284,-7.077171604200694,-7.55001417349848,-3.0809546508226107,-5.791432436904998
0.4950654322622428,-1.6854111847677182,-1.7724008243270433,-4.073705091367501,-7.120758820837174,-7.488758744725181,-3.089433653130457,-5.790344019669411
0.5278097814378633,-1.685517875780841,-1.7725748853246097,-4.085389097953761,-7.162453272037693,-7.4211902732129555,-3.1005001535339463,-5.78387818480492
0.5727740161812854,-1.6857056824254568,-1.7728837267758655,-4.100113603574723,-7.209322148103414,-7.339871111480386,-3.1165540178213176,-5.772426981595353
0.6313138429594938,-1.6860004324481075,-1.7733775165974193,-4.116558428424691,-7.247433208901508,-7.257316045692266,-3.1371653164438276,-5.751975241774147
0.7039922651821707,-1.6862433801901244,-1.7737964598487337,-4.128638900001326,-7.217705789915665,-7.22265045550191,-3.150572356649584,-5.707659668563711
