instrname,reference,bandpass,iwave,wave,waveMin,waveMax,xMin,xMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink
NIRSPEC_G395H_NRS1,ExoTEP,uniform,22,3.2470123767852783,3.238558,3.2554667,0,0,3386.7148,55.8693,55.8693,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,23,3.2642576694488525,3.2554667,3.2730486,0,0,3568.0746,51.8626,51.8626,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,24,3.2814998626708984,3.2730486,3.2899513,0,0,3514.3232,54.0104,54.0104,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,25,3.298401355743408,3.2899513,3.3068511,0,0,3606.3603,52.1733,52.1733,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,26,3.3156373500823975,3.3068511,3.3244236,0,0,3573.8044,52.5258,52.5258,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,27,3.3328702449798584,3.3244236,3.341317,0,0,3484.4088,55.101,55.101,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,28,3.34979248046875,3.341317,3.358268,0,0,3534.363,51.4732,51.4732,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,29,3.3667116165161133,3.358268,3.3751554,0,0,3564.9957,53.5603,53.5603,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,30,3.3839354515075684,3.3751554,3.3927152,0,0,3446.641,48.4315,48.4315,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,31,3.401155710220337,3.3927152,3.4095962,0,0,3553.1681,54.4869,54.4869,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,32,3.4180352687835693,3.4095962,3.4264743,0,0,3609.0269,54.3461,54.3461,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,33,3.4349119663238525,3.4264743,3.4433496,0,0,3412.5131,53.3894,53.3894,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,34,3.452122926712036,3.4433496,3.4608963,0,0,3527.9747,54.2261,54.2261,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,35,3.4693305492401123,3.4608963,3.4777648,0,0,3587.5251,55.0417,55.0417,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,36,3.4861974716186523,3.4777648,3.4946299,0,0,3595.7042,52.0348,52.0348,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,37,3.5033979415893555,3.4946299,3.5121663,0,0,3478.7542,54.7211,54.7211,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,38,3.5206260681152344,3.5121663,3.5290859,0,0,3513.1077,53.3941,53.3941,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,39,3.537513256072998,3.5290859,3.5459409,0,0,3546.0936,53.9404,53.9404,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,40,3.554703712463379,3.5459409,3.5634663,0,0,3505.9074,52.2933,52.2933,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,41,3.571890354156494,3.5634663,3.5803144,0,0,3652.675,53.8459,53.8459,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,42,3.5887365341186523,3.5803144,3.597159,0,0,3620.0029,53.0493,53.0493,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,43,3.6059160232543945,3.597159,3.6146734,0,0,3528.5842,52.5539,52.5539,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,44,3.6230921745300293,3.6146734,3.6315107,0,0,3581.819,52.2085,52.2085,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,45,3.639927625656128,3.6315107,3.6483445,0,0,3500.5129,56.6167,56.6167,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,46,3.6570959091186523,3.6483445,3.6658473,0,0,3488.9892,53.8683,53.8683,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,47,3.674260139465332,3.6658473,3.6826732,0,0,3512.5009,57.0504,57.0504,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,48,3.691420555114746,3.6826732,3.7001681,0,0,3509.66,55.9907,55.9907,0.0,0.0,0,none
NIRSPEC_G395H_NRS1,ExoTEP,uniform,49,3.7085771560668945,3.7001681,3.7169862,0,0,3527.0091,56.29,56.29,0.0,0.0,0,none
