wvl(micron) wvl_fullwidth(micron) depths depths_err_up depths_err_down
4.566499999999999559e+00 2.150000000000007461e-02 1.460946777544791866e-03 5.875302700192883490e-05 5.626437739613332142e-05
4.609500000000000597e+00 2.150000000000007461e-02 1.383099970794325617e-03 5.541651910664436090e-05 5.516985634155396889e-05
4.652000000000000135e+00 2.099999999999990763e-02 1.404056130360658130e-03 6.033105950966266215e-05 6.162371987620011635e-05
4.694499999999999673e+00 2.150000000000007461e-02 1.476569752472619646e-03 5.758571286326253161e-05 5.954527915026414271e-05
4.737500000000000711e+00 2.150000000000007461e-02 1.389468914380663457e-03 5.913521949392833155e-05 6.058168499595154369e-05
4.780000000000000249e+00 2.099999999999990763e-02 1.453869819584736878e-03 6.146139855102059589e-05 6.072172057555854860e-05
4.822499999999999787e+00 2.150000000000007461e-02 1.443354922669291655e-03 6.888101094002885109e-05 6.784500124532803073e-05
4.865499999999999936e+00 2.149999999999963052e-02 1.525064534797889587e-03 6.381209351669211646e-05 6.532636052315136249e-05
4.907999999999999474e+00 2.100000000000035172e-02 1.483958563959310089e-03 6.724260490019624836e-05 6.861706324141751169e-05
4.950499999999999901e+00 2.150000000000007461e-02 1.522750244935626700e-03 7.214124861565449770e-05 7.293377839992965135e-05
4.993500000000000050e+00 2.149999999999963052e-02 1.323207445801067141e-03 6.974299114118217256e-05 7.250491009892084948e-05
5.035999999999999588e+00 2.100000000000035172e-02 1.544947961103407437e-03 7.397759691918880109e-05 7.365884553030906286e-05
5.078500000000000014e+00 2.149999999999963052e-02 1.402410745895649700e-03 7.368252724516120324e-05 7.426780971440819293e-05
