iwave,wave,waveMin,waveMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink,instrname,reference,bandpass
88,1.447877824306488,1.4405910968780518,1.4551645517349243,747.5893492788039,44.29023666345723,41.11447692143579,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
89,1.4624589681625366,1.4551645517349243,1.4697533845901487,788.124237748638,45.83481455523132,42.70953140244325,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
90,1.4770563840866089,1.4697533845901487,1.4843593835830688,839.0870963616289,46.259859509381144,47.149310379674134,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
91,1.4916654825210571,1.4843593835830688,1.4989715814590454,753.702626098995,48.02674250752102,46.92413614197411,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
92,1.5067716836929321,1.4989715814590454,1.5145717859268188,783.4981779474576,45.891374691516454,44.90589544163674,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
93,1.5218858122825623,1.5145717859268188,1.5291998386383057,709.2756813377,50.18304732719981,48.488709758947095,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
94,1.5370094776153564,1.5291998386383057,1.5448191165924072,670.6445302946994,45.44051710470735,44.63732202799665,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
95,1.5526350140571594,1.5448191165924072,1.5604509115219116,798.2075626306662,48.47162393344841,47.939689769377615,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
96,1.56827312707901,1.5604509115219116,1.5760953426361084,809.2720367767174,46.320218169276416,47.71805095241776,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
97,1.583920180797577,1.5760953426361084,1.5917450189590454,757.0328704843481,46.98065056548594,48.34455797832244,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
98,1.599573016166687,1.5917450189590454,1.6074010133743286,786.9183256371771,47.97753454629288,47.062515869664225,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
99,1.6152324676513672,1.6074010133743286,1.6230639219284058,796.0898146066853,49.61365104415692,49.93379886491048,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
100,1.6313914060592651,1.6230639219284058,1.6397188901901245,828.0485494662345,49.72225974516512,47.01452165367369,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
101,1.6480495929718018,1.6397188901901245,1.656380295753479,792.1231851096737,48.95020776986349,49.09553202111107,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
102,1.6644679009914398,1.656380295753479,1.6725555062294006,861.0420581527021,48.53313625107193,50.381599426189915,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
103,1.6811349093914032,1.6725555062294006,1.6897143125534058,798.504180205115,52.75451902726026,52.5089464057499,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
104,1.6980564594268799,1.6897143125534058,1.706398606300354,846.1256373807526,54.31338125381456,54.45973356630891,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
105,1.714737594127655,1.706398606300354,1.723076581954956,835.8088696534421,55.502279718985186,54.136713297241016,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
106,1.7319114208221436,1.723076581954956,1.740746259689331,703.8878311562793,50.857620926213826,50.830520161523914,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
107,1.7493374347686768,1.740746259689331,1.7579286098480225,763.7062215800856,52.01940259497617,53.72779996533817,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
108,1.7667723596096039,1.7579286098480225,1.7756161093711853,681.6330721946804,48.44434912121237,50.31109277784753,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
109,1.7844540476799011,1.7756161093711853,1.793291985988617,762.4953067122267,58.659485284122276,56.51323191160675,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
110,1.8023845851421354,1.793291985988617,1.8114771842956543,784.98923199483,57.201269927853986,54.322955056451086,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
111,1.8203170299530027,1.8114771842956543,1.8291568756103516,753.5872446804091,63.054529082236186,59.748227227649515,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
112,1.8384946584701538,1.8291568756103516,1.8478324413299558,855.4011656027692,56.12702117809297,53.77174180364971,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
113,1.8569253981113434,1.8478324413299558,1.8660183548927303,739.4767014902691,61.29460257041669,64.88601280428087,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
114,1.875357061624527,1.8660183548927303,1.8846957683563232,879.5130284788643,62.931081059096236,60.135222822111366,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
115,1.8942871689796448,1.8846957683563232,1.9038785696029663,776.7944558152984,57.0802164842568,60.45626568214746,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
116,1.9132179021835327,1.9038785696029663,1.9225572347640991,784.3303508055105,59.1174554705402,60.705813714348714,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
117,1.9323871731758118,1.9225572347640991,1.9422171115875244,828.124822049164,63.48234685220405,65.73166350850376,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
118,1.9518065750598907,1.9422171115875244,1.961396038532257,690.9201434815353,69.3403642460277,66.97628942668231,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
119,1.9709856808185582,1.961396038532257,1.9805753231048584,842.0054206128307,65.97471031242061,69.27542802147562,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
120,1.990649402141571,1.9805753231048584,2.0007234811782837,763.4421645024615,64.40434879838179,68.80717434113939,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
121,2.0108067989349365,2.0007234811782837,2.0208901166915894,783.8376039480461,79.55813791553602,80.05163426460979,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
122,2.030969023704529,2.0208901166915894,2.0410479307174683,808.3442087890834,67.11344452494764,71.73165227814775,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
