wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
3.326626982817776135e+00 6.653253965635652634e-03 1.452355164181462271e-03 4.188682131085257824e-05 4.248472030314892243e-05
3.339960157097606963e+00 6.679920314195175735e-03 1.486820674241487537e-03 4.261874290255334195e-05 4.430128790401580802e-05
3.353346770953709477e+00 6.706693541907338130e-03 1.441134084820693819e-03 3.988348201473223669e-05 4.146629748686971154e-05
3.366787038572762292e+00 6.733574077145698666e-03 1.474763624466988998e-03 3.878834108793599404e-05 4.087500517315928201e-05
3.380281174999907989e+00 6.760562349999776899e-03 1.489589403446744476e-03 4.245223402099878657e-05 4.266553517162369050e-05
3.393829396142192145e+00 6.787658792284378961e-03 1.425753639431617120e-03 3.806082914102765777e-05 3.930944976614977871e-05
3.407431918772020563e+00 6.814863837544038461e-03 1.449972605209186695e-03 3.884347890851423218e-05 4.132956746039342981e-05
3.421088960530625833e+00 6.842177921061232126e-03 1.433710324579175535e-03 3.940306334872885932e-05 4.052000406908548704e-05
3.434800739931550329e+00 6.869601479863263194e-03 1.368950783014331396e-03 3.819980059261546111e-05 4.004228341110453525e-05
3.448567476364142070e+00 6.897134952728478652e-03 1.382724564657891080e-03 3.941042166072652119e-05 4.062012788462563974e-05
3.462389390097064812e+00 6.924778780194040806e-03 1.412264563138419457e-03 4.025385227363373575e-05 4.301917012666813363e-05
3.476266702281822329e+00 6.952533404563698838e-03 1.395248400101618477e-03 3.925663780871405161e-05 3.987848988164464237e-05
3.490199634956298702e+00 6.980399269912673788e-03 1.457930179961667606e-03 3.966610219701367177e-05 4.237219571102299019e-05
3.504188411048307916e+00 7.008376822096540337e-03 1.475487455426161779e-03 4.091587395297623537e-05 4.210135678987382508e-05
3.518233254379162567e+00 7.036466508758332239e-03 1.385600747322459844e-03 3.871826712033104683e-05 3.974866206867852623e-05
3.532334389667255437e+00 7.064668779334315474e-03 1.458893288777761421e-03 4.151909072350459595e-05 4.410872161187219043e-05
3.546492042531653066e+00 7.092984085063314126e-03 1.432833901141291688e-03 3.953290614440922956e-05 4.271358175172569973e-05
3.560706439495707976e+00 7.121412878991373319e-03 1.425562290113611096e-03 4.090050975461345726e-05 4.206199833754825309e-05
3.574977807990680656e+00 7.149955615981529178e-03 1.450567036737938041e-03 4.010942864319895013e-05 4.282865424587378262e-05
3.589306376359380657e+00 7.178612752718693812e-03 1.409771275840352497e-03 3.715073824764266618e-05 3.879200148495697069e-05
3.603692373859819220e+00 7.207384747719647322e-03 1.441580040068166698e-03 3.756697361932150974e-05 3.831937403356751586e-05
3.618136030668876568e+00 7.236272061337700734e-03 1.410491247943971172e-03 4.146319883205817138e-05 4.152757100709293122e-05
3.632637577885986069e+00 7.265275155771799831e-03 1.437633468260377315e-03 4.067234830992581633e-05 4.140693350594376560e-05
3.647197247536831277e+00 7.294394495073630580e-03 1.472173777479313583e-03 3.817615825747726089e-05 3.964706860686118781e-05
3.661815272577059410e+00 7.323630545154058424e-03 1.468493703362115047e-03 4.035465239553499476e-05 4.217967476797343399e-05
3.676491886896005035e+00 7.352983773792010069e-03 1.457331510657283464e-03 4.217578536293429463e-05 4.406744952129494668e-05
3.691227325320438180e+00 7.382454650640912774e-03 1.424919139324686956e-03 4.191065597310245999e-05 4.423522346934844639e-05
3.706021823618315558e+00 7.412043647236687960e-03 1.414838049517766049e-03 4.128500692237508968e-05 4.238502271305875067e-05
