wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
2.918171177234252234e+00 2.918171177234141211e-03 1.469468335125314034e-03 7.372679271786600479e-05 7.976647507429764506e-05
2.924013361773259767e+00 2.924013361773392106e-03 1.387711967222404839e-03 6.850531049339142345e-05 8.138817311338769340e-05
2.929867242377410363e+00 2.929867242377426351e-03 1.419883190889096236e-03 6.916542118223885838e-05 6.905810293756464268e-05
2.935732842462249970e+00 2.935732842462179804e-03 1.453407553482399979e-03 6.467230057144398886e-05 6.467615971346581637e-05
2.941610185490202589e+00 2.941610185490217688e-03 1.527532613721768132e-03 6.505967149603618588e-05 6.497506115444398351e-05
2.947499294970663097e+00 2.947499294970512551e-03 1.496827330871913254e-03 6.508946259297561658e-05 6.868976774521585050e-05
2.953400194460093608e+00 2.953400194460220618e-03 1.387570679441301044e-03 6.100957217359359141e-05 6.106127122444338019e-05
2.959312907562115846e+00 2.959312907562017259e-03 1.536010050161780742e-03 6.184029998376489728e-05 6.583212127054058208e-05
2.965237457927605735e+00 2.965237457927649700e-03 1.435473218221541792e-03 6.065582877433666251e-05 6.294360104666074890e-05
2.971173869254788436e+00 2.971173869254828404e-03 1.551896355037956374e-03 6.354402061418501458e-05 6.366244745909232236e-05
2.977122165289332045e+00 2.977122165289225464e-03 1.560629129571776928e-03 6.240858559031472650e-05 6.505239227364333695e-05
2.983082369824446189e+00 2.983082369824474611e-03 1.382243365211029400e-03 5.888755905805502457e-05 5.965555419078245457e-05
2.989054506700971281e+00 2.989054506700838942e-03 1.568106554010942908e-03 5.791120849163953614e-05 5.900351714996158439e-05
2.995038599807479329e+00 2.995038599807431368e-03 1.493423396948500778e-03 5.936936870574955954e-05 6.179757962939444026e-05
3.001034673080367199e+00 3.001034673080438253e-03 1.444021945429058585e-03 6.071310122999700685e-05 6.338483570592297648e-05
3.007042750503951645e+00 3.007042750504007600e-03 1.514525595416738556e-03 6.081304586451807739e-05 6.344464052824352060e-05
3.013062856110566123e+00 3.013062856110471088e-03 1.482244683792556831e-03 5.886060186077321038e-05 5.921114862053598914e-05
3.019095013980657605e+00 3.019095013980788167e-03 1.485786235312419297e-03 6.543531028636543495e-05 6.592598091541810885e-05
3.025139248242881607e+00 3.025139248242991741e-03 1.376416190466307537e-03 5.955513124028858317e-05 5.891727445407320216e-05
3.031195583074198563e+00 3.031195583074186573e-03 1.518321512431984642e-03 5.883033817730590567e-05 6.311357579325293816e-05
3.037264042699972855e+00 3.037264042700105193e-03 1.435335297196836625e-03 6.276424103738167482e-05 5.983019683467021433e-05
3.043344651394066958e+00 3.043344651394219724e-03 1.441856244526358837e-03 6.086497100313420641e-05 6.136933740327650273e-05
3.049437433478940029e+00 3.049437433478852100e-03 1.516780218646259426e-03 6.350381491511525160e-05 6.773905663914976043e-05
3.055542413325745166e+00 3.055542413325840201e-03 1.428718122073423464e-03 5.717897445104334843e-05 5.717410118252999081e-05
3.061659615354424879e+00 3.061659615354317410e-03 1.472563369749245845e-03 5.626068636202736020e-05 5.868062724801822219e-05
3.067789064033813240e+00 3.067789064033821234e-03 1.457640152219366516e-03 6.035007520909386591e-05 6.201198507155316329e-05
3.073930783881729134e+00 3.073930783881850815e-03 1.500651588054193646e-03 6.194217034111200860e-05 6.383004202871125779e-05
3.080084799465075740e+00 3.080084799464977152e-03 1.516587223045430229e-03 5.752851647211205515e-05 5.806918993050301574e-05
3.086251135399940893e+00 3.086251135399953327e-03 1.543390761613139045e-03 5.909634604269551342e-05 6.471928728291936525e-05
3.092429816351692118e+00 3.092429816351716099e-03 1.409686196574150459e-03 6.152870290287109191e-05 6.556079311874174573e-05
3.098620867035079218e+00 3.098620867035162263e-03 1.516957416369757233e-03 5.848310608208869942e-05 6.153292422734116360e-05
3.104824312214328863e+00 3.104824312214260473e-03 1.524958704720214995e-03 5.998337533407599871e-05 6.191653502198381004e-05
3.111040176703245841e+00 3.111040176703161464e-03 1.447699057374276978e-03 5.971813863623636116e-05 6.095477438671868928e-05
3.117268485365314312e+00 3.117268485365309871e-03 1.581981751717899181e-03 6.538289580422641616e-05 6.775690020300558284e-05
3.123509263113793732e+00 3.123509263113888323e-03 1.402955400133553245e-03 5.711642107658999808e-05 5.875390225950360583e-05
3.129762534911819216e+00 3.129762534911817440e-03 1.422581007306882982e-03 6.045056637278252779e-05 6.346622835271273431e-05
3.136028325772503678e+00 3.136028325772644010e-03 1.498350038984215885e-03 5.919372396661106686e-05 6.421878216999722883e-05
3.142306660759035530e+00 3.142306660758986681e-03 1.319673662801677198e-03 5.697891415611034993e-05 5.828163059646132625e-05
3.148597564984779495e+00 3.148597564984756403e-03 1.343695873045703875e-03 5.828983022266111030e-05 5.645486727081660980e-05
3.154901063613377410e+00 3.154901063613380074e-03 1.416512368074854646e-03 5.628874553426903852e-05 5.632582370394360871e-05
3.161217181858849479e+00 3.161217181858910763e-03 1.371703516179772478e-03 5.584430281862896666e-05 5.559546460189834083e-05
3.167545944985694639e+00 3.167545944985805662e-03 1.450271817822618159e-03 5.498175027278767816e-05 5.427542922002357562e-05
3.173887378308989149e+00 3.173887378308926088e-03 1.371755062853660754e-03 5.503147244656915286e-05 5.627506515616502187e-05
3.180241507194492723e+00 3.180241507194647710e-03 1.438787672752993036e-03 6.019578729711681146e-05 6.456628590571401199e-05
3.186608357058745788e+00 3.186608357058640095e-03 1.446613362296210632e-03 5.535313919498143165e-05 5.646828864683103497e-05
3.192987953369173848e+00 3.192987953369197385e-03 1.454771740849436371e-03 5.938292128842673391e-05 5.990801044415324254e-05
3.199380321644187397e+00 3.199380321644129666e-03 1.441930565916630953e-03 5.506549220049600002e-05 5.990231422509683973e-05
3.205785487453284510e+00 3.205785487453205462e-03 1.363039005937869037e-03 5.702238276661771499e-05 5.604307932610898035e-05
3.212203476417155201e+00 3.212203476417263559e-03 1.332760623677509918e-03 5.696004248564326899e-05 5.944253056505876322e-05
3.218634314207780012e+00 3.218634314207768909e-03 1.419201952438974620e-03 5.976761466633122608e-05 6.338276004964897472e-05
3.225078026548536148e+00 3.225078026548366950e-03 1.482397416509582564e-03 6.135923473097019563e-05 6.186785637918217691e-05
